(0.0, ((1168.0, 4477.0), (1204.0, 4656.0), (840.0, 4458.0)))
(0.0, ((5026.0, 7579.0), (5165.0, 7295.0), (5225.0, 7442.0)))
(0.0, ((4296.0, 3445.0), (4322.0, 3185.0), (4105.0, 3317.0)))
(0.0, ((4850.0, 2516.0), (4748.0, 2780.0), (4942.0, 2644.0)))
(0.0, ((4970.0, 7134.0), (5105.0, 7148.0), (5045.0, 7000.0)))
(0.0, ((4466.0, 8140.0), (4529.0, 7971.0), (4682.0, 8100.0)))
(0.0, ((7276.0, 7138.0), (7272.0, 6792.0), (6996.0, 7014.0)))
(0.0, ((6401.0, 7497.0), (6612.0, 7692.0), (6655.0, 7444.0)))
(0.0, ((4800.0, 8864.0), (4953.0, 8993.0), (4908.0, 8844.0)))
(0.0, ((4636.0, 7951.0), (4529.0, 7971.0), (4591.0, 7802.0)))
(0.0, ((4581.0, 8370.0), (4466.0, 8140.0), (4403.0, 8308.0)))
(0.0, ((4862.0, 8695.0), (4647.0, 8735.0), (4800.0, 8864.0)))
(0.0, ((4581.0, 3027.0), (4603.0, 3306.0), (4757.0, 3236.0)))
(0.0, ((7735.0, 6848.0), (7973.0, 6648.0), (7634.0, 6680.0)))
(0.0, ((6612.0, 7692.0), (6401.0, 7497.0), (6331.0, 7636.0)))
(0.0, ((7254.0, 7887.0), (7310.0, 7985.0), (7140.0, 8004.0)))
(0.0, ((7481.0, 7653.0), (7386.0, 7362.0), (7595.0, 7536.0)))
(0.0, ((6893.0, 7886.0), (6513.0, 8050.0), (6640.0, 8188.0)))
(0.0, ((4759.0, 2388.0), (4850.0, 2516.0), (4632.0, 2543.0)))
(0.0, ((7333.0, 6175.0), (6980.0, 6251.0), (7434.0, 6344.0)))
(0.0, ((6814.0, 7244.0), (6883.0, 7515.0), (7092.0, 7314.0)))
(0.0, ((7272.0, 6792.0), (7534.0, 6512.0), (7434.0, 6344.0)))
(0.0, ((4581.0, 8370.0), (4494.0, 8606.0), (4817.0, 8546.0)))
(0.0, ((1382.0, 4714.0), (1329.0, 4865.0), (1747.0, 4739.0)))
(0.0, ((4581.0, 8370.0), (4341.0, 8477.0), (4494.0, 8606.0)))
(0.0, ((4176.0, 2618.0), (4259.0, 2906.0), (4053.0, 2708.0)))
(0.0, ((4682.0, 8100.0), (4466.0, 8140.0), (4727.0, 8249.0)))
(0.0, ((4466.0, 8140.0), (4581.0, 8370.0), (4727.0, 8249.0)))
(0.0, ((4341.0, 8477.0), (4581.0, 8370.0), (4403.0, 8308.0)))
(0.0, ((7534.0, 6512.0), (7272.0, 6792.0), (7634.0, 6680.0)))
(0.0, ((5064.0, 3097.0), (5034.0, 2772.0), (5126.0, 2900.0)))
(0.0, ((3729.0, 11472.0), (3836.0, 11142.0), (3925.0, 11284.0)))
(0.0, ((7272.0, 6792.0), (7276.0, 7138.0), (7559.0, 7121.0)))
(0.0, ((7254.0, 7887.0), (6893.0, 7886.0), (7140.0, 8004.0)))
(0.0, ((7735.0, 6848.0), (7559.0, 7121.0), (7835.0, 7017.0)))
(0.0, ((4581.0, 3027.0), (4910.0, 3167.0), (4757.0, 3236.0)))
(0.0, ((4664.0, 8526.0), (4772.0, 8397.0), (4581.0, 8370.0)))
(0.0, ((6814.0, 7244.0), (6681.0, 6940.0), (6611.0, 7079.0)))
(0.0, ((6996.0, 7014.0), (6681.0, 6940.0), (6814.0, 7244.0)))
(0.0, ((3837.0, 3280.0), (4105.0, 3317.0), (3913.0, 3432.0)))
(0.0, ((2678.0, 10345.0), (2356.0, 10449.0), (2470.0, 10588.0)))
(0.0, ((7559.0, 7121.0), (7822.0, 7302.0), (7835.0, 7017.0)))
(0.0, ((4862.0, 8695.0), (4908.0, 8844.0), (4800.0, 8864.0)))
(0.0, ((7093.0, 8516.0), (6870.0, 8456.0), (7119.0, 8283.0)))
(0.0, ((4759.0, 2388.0), (4667.0, 2260.0), (4544.0, 2350.0)))
(0.0, ((4862.0, 8695.0), (4817.0, 8546.0), (4647.0, 8735.0)))
(0.0, ((6655.0, 7444.0), (6401.0, 7497.0), (6471.0, 7358.0)))
(0.0, ((4581.0, 8370.0), (4772.0, 8397.0), (4727.0, 8249.0)))
(0.0, ((6893.0, 7886.0), (7026.0, 8121.0), (7140.0, 8004.0)))
(0.0, ((6261.0, 7775.0), (6387.0, 7913.0), (6331.0, 7636.0)))
(0.0, ((4494.0, 8606.0), (4817.0, 8546.0), (4647.0, 8735.0)))
(0.0, ((6821.0, 6661.0), (7272.0, 6792.0), (6901.0, 6456.0)))
(0.0, ((4682.0, 8100.0), (4529.0, 7971.0), (4636.0, 7951.0)))
(0.0, ((7196.0, 7611.0), (7481.0, 7653.0), (7386.0, 7362.0)))
(0.0, ((7386.0, 7362.0), (7276.0, 7138.0), (7092.0, 7314.0)))
(0.0, ((6996.0, 7014.0), (6814.0, 7244.0), (7092.0, 7314.0)))
(0.0, ((7198.0, 2303.0), (7049.0, 2164.0), (7062.0, 2349.0)))
(0.0, ((6655.0, 7444.0), (6883.0, 7515.0), (6814.0, 7244.0)))
(0.0, ((4888.0, 4164.0), (4621.0, 3795.0), (4554.0, 3945.0)))
(0.0, ((6541.0, 7218.0), (6655.0, 7444.0), (6814.0, 7244.0)))
(0.0, ((7276.0, 7138.0), (7386.0, 7362.0), (7559.0, 7121.0)))
(0.0, ((6915.0, 822.0), (7101.0, 775.0), (7076.0, 931.0)))
(0.0, ((4253.0, 7004.0), (4069.0, 6988.0), (4185.0, 6844.0)))
(0.0, ((4199.0, 8349.0), (4403.0, 8308.0), (4341.0, 8477.0)))
(0.0, ((3631.0, 7836.0), (3773.0, 7964.0), (3894.0, 7603.0)))
(0.0, ((6893.0, 7886.0), (6513.0, 8050.0), (6612.0, 7692.0)))
(0.0, ((7060.0, 6045.0), (7333.0, 6175.0), (7236.0, 6008.0)))
(0.0, ((4703.0, 1913.0), (4595.0, 1691.0), (4505.0, 1838.0)))
(0.0, ((6612.0, 7692.0), (6883.0, 7515.0), (6655.0, 7444.0)))
(0.0, ((5826.0, 3782.0), (5436.0, 3718.0), (5731.0, 3633.0)))
(0.0, ((5382.0, 1488.0), (5496.0, 1605.0), (5517.0, 1364.0)))
(0.0, ((6640.0, 8188.0), (6766.0, 8325.0), (6834.0, 8129.0)))
(0.0, ((997.0, 3631.0), (964.0, 3464.0), (758.0, 3442.0)))
(0.0, ((3773.0, 7964.0), (4206.0, 7820.0), (3894.0, 7603.0)))
(0.0, ((6893.0, 7886.0), (6640.0, 8188.0), (6896.0, 8223.0)))
(0.0, ((5710.0, 10807.0), (5383.0, 11048.0), (5523.0, 11121.0)))
(0.0, ((4591.0, 7802.0), (4206.0, 7820.0), (4529.0, 7971.0)))
(0.0, ((4057.0, 8221.0), (4206.0, 7820.0), (3915.0, 8092.0)))
(0.0, ((5667.0, 7629.0), (5387.0, 7894.0), (5723.0, 8075.0)))
(0.0, ((5383.0, 11048.0), (5380.0, 10768.0), (5244.0, 10976.0)))
(0.0, ((3605.0, 7564.0), (3722.0, 7737.0), (3489.0, 7708.0)))
(0.0, ((8551.0, 5904.0), (8340.0, 6095.0), (8601.0, 6049.0)))
(0.0, ((4320.0, 7164.0), (4166.0, 7440.0), (4388.0, 7323.0)))
(0.0, ((4206.0, 7820.0), (4591.0, 7802.0), (4524.0, 7643.0)))
(0.0, ((4320.0, 7164.0), (3953.0, 7132.0), (4166.0, 7440.0)))
(0.0, ((624.0, 2811.0), (386.0, 2647.0), (369.0, 2919.0)))
(0.0, ((5737.0, 6709.0), (5825.0, 6543.0), (5635.0, 6552.0)))
(0.0, ((4057.0, 8221.0), (4466.0, 8140.0), (4206.0, 7820.0)))
(0.0, ((7051.0, 1088.0), (6915.0, 822.0), (7076.0, 931.0)))
(0.0, ((4206.0, 7820.0), (4166.0, 7440.0), (3894.0, 7603.0)))
(0.0, ((4967.0, 9589.0), (5262.0, 9723.0), (5184.0, 9541.0)))
(0.0, ((3894.0, 7603.0), (4166.0, 7440.0), (3837.0, 7276.0)))
(0.0, ((7822.0, 7302.0), (7835.0, 7017.0), (7936.0, 7185.0)))
(0.0, ((4206.0, 7820.0), (4456.0, 7483.0), (4166.0, 7440.0)))
(0.0, ((7735.0, 6848.0), (7272.0, 6792.0), (7634.0, 6680.0)))
(0.0, ((4456.0, 7483.0), (4206.0, 7820.0), (4524.0, 7643.0)))
(0.0, ((4166.0, 7440.0), (3953.0, 7132.0), (3837.0, 7276.0)))
(0.0, ((3605.0, 7564.0), (3894.0, 7603.0), (3631.0, 7836.0)))
(0.0, ((3894.0, 7603.0), (3721.0, 7420.0), (3605.0, 7564.0)))
(0.0, ((7333.0, 6175.0), (6980.0, 6251.0), (7060.0, 6045.0)))
(0.0, ((7534.0, 6512.0), (7811.0, 6277.0), (7634.0, 6680.0)))
(0.0, ((4166.0, 7440.0), (4456.0, 7483.0), (4388.0, 7323.0)))
(0.0, ((6412.0, 1716.0), (6678.0, 1856.0), (6682.0, 1534.0)))
(0.0, ((5064.0, 3097.0), (5126.0, 2900.0), (5217.0, 3028.0)))
(0.0, ((7051.0, 1088.0), (6729.0, 870.0), (6707.0, 1202.0)))
(0.0, ((6412.0, 2547.0), (6527.0, 2665.0), (6726.0, 2529.0)))
(0.0, ((4057.0, 8221.0), (4466.0, 8140.0), (4199.0, 8349.0)))
(0.0, ((4199.0, 8349.0), (4466.0, 8140.0), (4403.0, 8308.0)))
(0.0, ((6678.0, 1856.0), (6459.0, 2078.0), (6741.0, 2088.0)))
(0.0, ((6355.0, 1354.0), (5985.0, 1060.0), (6002.0, 1567.0)))
(0.0, ((5985.0, 1060.0), (6355.0, 1354.0), (6171.0, 1012.0)))
(0.0, ((4206.0, 7820.0), (3773.0, 7964.0), (3915.0, 8092.0)))
(0.0, ((6162.0, 1918.0), (6069.0, 2194.0), (6459.0, 2078.0)))
(0.0, ((4176.0, 2618.0), (4299.0, 2529.0), (4050.0, 2481.0)))
(0.0, ((4466.0, 8140.0), (4206.0, 7820.0), (4529.0, 7971.0)))
(0.0, ((6707.0, 1202.0), (6355.0, 1354.0), (6682.0, 1534.0)))
(0.0, ((4651.0, 4985.0), (4980.0, 5074.0), (4726.0, 5134.0)))
(0.0, ((6002.0, 1567.0), (5611.0, 1723.0), (5725.0, 1841.0)))
(0.0, ((3837.0, 7276.0), (3894.0, 7603.0), (3721.0, 7420.0)))
(0.0, ((5419.0, 3005.0), (5248.0, 2619.0), (5126.0, 2900.0)))
(0.0, ((6298.0, 2430.0), (6459.0, 2078.0), (6183.0, 2312.0)))
(0.0, ((6707.0, 1202.0), (6729.0, 870.0), (6543.0, 917.0)))
(0.0, ((7739.0, 5285.0), (7546.0, 5317.0), (7682.0, 5143.0)))
(0.0, ((5840.0, 1959.0), (6162.0, 1918.0), (6002.0, 1567.0)))
(0.0, ((5202.0, 7941.0), (5243.0, 7765.0), (5387.0, 7894.0)))
(0.0, ((7917.0, 4947.0), (8030.0, 5258.0), (7800.0, 5045.0)))
(0.0, ((4320.0, 7164.0), (4069.0, 6988.0), (4253.0, 7004.0)))
(0.0, ((3953.0, 7132.0), (4069.0, 6988.0), (4320.0, 7164.0)))
(0.0, ((6678.0, 1856.0), (6412.0, 1716.0), (6459.0, 2078.0)))
(0.0, ((4970.0, 7134.0), (5045.0, 7000.0), (4810.0, 7003.0)))
(0.0, ((4894.0, 7268.0), (4636.0, 7202.0), (4818.0, 7401.0)))
(0.0, ((6707.0, 1202.0), (7001.0, 1400.0), (7026.0, 1244.0)))
(0.0, ((5034.0, 2772.0), (5248.0, 2619.0), (4942.0, 2644.0)))
(0.0, ((4667.0, 7669.0), (4743.0, 7535.0), (4524.0, 7643.0)))
(0.0, ((6412.0, 1716.0), (6162.0, 1918.0), (6459.0, 2078.0)))
(0.0, ((7001.0, 1400.0), (6707.0, 1202.0), (6682.0, 1534.0)))
(0.0, ((3550.0, 1909.0), (3917.0, 2024.0), (3770.0, 1745.0)))
(0.0, ((6412.0, 1716.0), (6355.0, 1354.0), (6002.0, 1567.0)))
(0.0, ((6926.0, 2394.0), (6741.0, 2088.0), (6726.0, 2529.0)))
(0.0, ((6357.0, 965.0), (6355.0, 1354.0), (6707.0, 1202.0)))
(0.0, ((7908.0, 5711.0), (7599.0, 5961.0), (7964.0, 5853.0)))
(0.0, ((7973.0, 6648.0), (7835.0, 7017.0), (8147.0, 7016.0)))
(0.0, ((7333.0, 6175.0), (7599.0, 5961.0), (7236.0, 6008.0)))
(0.0, ((6355.0, 1354.0), (6412.0, 1716.0), (6682.0, 1534.0)))
(0.0, ((7599.0, 5961.0), (7275.0, 5666.0), (7236.0, 6008.0)))
(0.0, ((7534.0, 6512.0), (7572.0, 6233.0), (7434.0, 6344.0)))
(0.0, ((6678.0, 1856.0), (6950.0, 1713.0), (6682.0, 1534.0)))
(0.0, ((7973.0, 6648.0), (8246.0, 6564.0), (8190.0, 6422.0)))
(0.0, ((4636.0, 7202.0), (4320.0, 7164.0), (4388.0, 7323.0)))
(0.0, ((7572.0, 6233.0), (7811.0, 6277.0), (7599.0, 5961.0)))
(0.0, ((7811.0, 6277.0), (8021.0, 5995.0), (7599.0, 5961.0)))
(0.0, ((3146.0, 10625.0), (2870.0, 10576.0), (3068.0, 10790.0)))
(0.0, ((4279.0, 10507.0), (4545.0, 10614.0), (4347.0, 10356.0)))
(0.0, ((7973.0, 6648.0), (7735.0, 6848.0), (7835.0, 7017.0)))
(0.0, ((7973.0, 6648.0), (7811.0, 6277.0), (7634.0, 6680.0)))
(0.0, ((4320.0, 7164.0), (4636.0, 7202.0), (4578.0, 6830.0)))
(0.0, ((4578.0, 6830.0), (4897.0, 6717.0), (4823.0, 6575.0)))
(0.0, ((4894.0, 7268.0), (4810.0, 7003.0), (4636.0, 7202.0)))
(0.0, ((4578.0, 6830.0), (4185.0, 6844.0), (4253.0, 7004.0)))
(0.0, ((7811.0, 6277.0), (8133.0, 6280.0), (8077.0, 6138.0)))
